race_date,track_name,race_number,distance,surface,track_condition,horse_name,jockey,trainer,post_position,final_time,finish_position,odds,weight,margin,speed_rating
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Fire Knight,Jockey_12,D. O'Neill,12,1:12.36,3,9.83,123,1.7,96
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Victory Flash,I. Ortiz,C. Brown,1,1:12.98,4,2.14,117,1.4,93
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Light Boost,J. Rosario,P. Eurton,6,1:13.01,5,13.84,123,2.3,87
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Wild Summit,J. Rosario,Trainer_07,10,1:13.47,6,7.34,119,2.1,86
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Iron Streak,Jockey_11,J. Sadler,11,1:14.05,7,24.32,120,2.5,84
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Dark Rocket,L. Saez,L. Jones,3,1:13.57,8,14.07,117,3.0,93
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Ruby Ocean,A. Cedillo,K. McPeek,7,1:13.65,9,30.23,125,2.9,86
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Noble Rush,F. Prat,Trainer_16,5,1:13.98,10,34.2,121,3.3,89
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Mountain Prince,R. Gonzalez,K. McPeek,8,1:13.80,11,7.72,125,4.1,89
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Lightning Hill,Jockey_11,K. McPeek,9,1:13.78,12,30.25,123,3.6,85
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Thunder Streak,Jockey_05,Trainer_09,9,1:06.13,1,32.84,123,Won by 0.4,111
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Glory Streak,F. Prat,R. Baltas,8,1:06.30,2,5.95,123,1.4,115
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Iron Streak,M. Smith,J. Sadler,1,1:06.40,3,16.98,128,1.1,114
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Victory Express,D. Van Dyke,C. Brown,5,1:07.13,4,7.04,128,1.8,112
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Dark Rocket,L. Saez,M. Maker,2,1:06.32,5,1.69,114,1.8,112
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Mystic Warrior,Jockey_11,W. Mott,6,1:07.50,6,14.84,123,1.9,110
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Running Streak,Jockey_07,Trainer_05,4,1:07.92,7,14.55,114,2.3,103
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Glowing Ocean,Jockey_10,J. Shirreffs,7,1:06.86,8,15.74,125,3.0,114
2024-01-02,Los Alamitos,7,6.0f,Dirt,Sloppy,Star Hill,Jockey_01,R. Baltas,3,1:06.59,9,16.74,126,2.9,113
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Running Breeze,J. Rosario,L. Jones,3,1:05.03,1,10.68,128,Won by 2.0,101
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Speed Prince,C. Lopez,D. O'Neill,8,1:04.89,2,9.53,126,1.4,98
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Solar Knight,K. Desormeaux,T. Pletcher,2,1:05.72,3,15.58,123,1.4,98
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Flying Dash,M. Smith,Trainer_10,7,1:04.90,4,5.12,117,1.8,97
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Magnetic Streak,J. Castellano,R. Baltas,5,1:05.25,5,4.38,124,2.2,96
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Electric King,Jockey_05,Trainer_05,9,1:05.99,6,11.79,120,2.0,94
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Cosmic Champion,F. Prat,R. Mandella,10,1:05.54,7,16.25,124,2.3,97
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Magic Tide,J. Castellano,Trainer_12,11,1:05.94,8,18.71,126,3.2,98
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Shadow Wind,K. Desormeaux,S. Asmussen,6,1:06.35,9,9.37,114,3.6,91
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Glory Fire,Jockey_15,Trainer_05,4,1:06.64,10,28.5,114,3.6,92
2024-01-02,Los Alamitos,8,5.5f,Turf,Fast,Brave King,Jockey_05,C. Brown,1,1:06.84,11,30.63,114,3.7,92
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Mountain Nitro,M. Smith,M. Casse,3,1:11.67,1,8.59,117,Won by 3.5,93
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Diamond Canyon,D. Van Dyke,P. Miller,8,1:12.32,2,10.35,124,1.0,92
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Valley Flash,F. Prat,Trainer_19,5,1:11.83,3,19.43,114,1.0,93
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Shadow Canyon,Jockey_04,S. Asmussen,10,1:12.90,4,9.93,121,1.9,87
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Midnight Rush,F. Prat,R. Baltas,2,1:12.24,5,4.79,124,2.4,94
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Blazing Bullet,J. Rosario,Trainer_06,1,1:12.40,6,6.09,117,2.3,90
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Fire King,J. Rosario,Trainer_19,7,1:13.25,7,8.76,123,2.6,86
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Lightning Warrior,R. Santana,Trainer_10,9,1:12.34,8,10.73,124,2.5,94
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Cosmic Comet,J. Castellano,Trainer_01,4,1:13.00,9,25.3,119,3.4,88
2024-01-02,Laurel Park,9,6.0f,Dirt,Fast,Glory Fire,Jockey_12,J. Hollendorfer,6,1:13.71,10,29.03,123,3.5,87
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Glowing Current,R. Gonzalez,Trainer_12,4,1:06.40,1,19.37,118,Won by 0.9,96
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Rapid Tide,Jockey_12,Trainer_17,9,1:06.39,2,19.46,122,1.1,97
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Honor Rocket,J. Rosario,Trainer_03,6,1:05.92,3,17.3,128,1.6,92
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Speed Demon,E. Maldonado,Trainer_06,7,1:07.17,4,34.3,119,2.0,92
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Proud Valley,K. Desormeaux,D. O'Neill,1,1:06.30,5,4.62,116,1.5,92
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Shadow Blaze,Jockey_07,J. Sadler,5,1:06.85,6,7.51,124,2.5,91
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Rapid Wind,K. Desormeaux,P. Miller,2,1:07.06,7,27.95,125,2.2,90
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Magnetic Boost,M. Franco,Trainer_19,3,1:07.75,8,9.79,116,2.6,88
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Cosmic Strike,M. Smith,P. Eurton,8,1:07.24,9,7.97,126,2.8,88
2024-01-02,Woodbine,10,5.5f,Turf,Fast,Glory Energy,I. Ortiz,M. Maker,10,1:06.88,10,17.55,118,3.6,93
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Midnight Stream,R. Santana,Trainer_15,8,1:07.55,1,12.89,115,Won by 0.8,110
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Mystic Nitro,M. Garcia,J. Shirreffs,5,1:07.02,2,16.76,125,0.6,114
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Electric Demon,K. Desormeaux,C. Brown,1,1:07.51,3,7.91,120,1.1,110
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Running Fire,C. Lopez,B. Baffert,9,1:07.46,4,11.14,128,1.6,112
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Iron Runner,I. Ortiz,Trainer_12,10,1:07.86,5,9.65,123,1.9,106
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Rapid Knight,J. Velazquez,J. Shirreffs,4,1:08.17,6,19.12,116,2.0,103
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Proud Summit,Jockey_02,L. Jones,2,1:08.20,7,15.49,120,2.1,108
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Frozen King,E. Maldonado,Trainer_16,6,1:09.43,8,28.49,119,2.6,105
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Silver Wind,Jockey_04,Trainer_10,7,1:08.39,9,18.11,121,2.8,108
2024-01-02,Golden Gate Fields,11,6.0f,Dirt,Fast,Iron Current,R. Gonzalez,Trainer_17,3,1:07.77,10,16.62,121,3.8,114
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Shadow Fury,K. Desormeaux,J. Sadler,6,1:24.51,1,4.19,120,Won by 3.6,96
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Lucky Bullet,Jockey_14,M. Maker,2,1:24.72,2,15.55,116,1.5,94
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Stellar Streak,K. Desormeaux,W. Mott,1,1:24.53,3,4.61,123,1.7,92
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Magic Stream,L. Saez,Trainer_07,7,1:24.39,4,15.66,127,1.4,93
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Dark Current,J. Velazquez,B. Baffert,10,1:24.55,5,17.5,122,2.4,92
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Diamond Mesa,Jockey_09,Trainer_19,9,1:25.42,6,17.93,116,2.3,91
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Swift Peak,M. Smith,K. McPeek,8,1:25.95,7,18.06,114,2.7,89
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Legend Bullet,M. Smith,Trainer_08,3,1:25.28,8,23.31,124,3.0,94
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Royal Nitro,K. Desormeaux,D. O'Neill,5,1:25.21,9,17.64,118,3.6,98
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Emerald Force,Jockey_09,Trainer_14,11,1:26.42,10,7.91,117,3.6,84
2024-01-02,Del Mar,12,7.0f,Dirt,Good,Ocean Knight,Jockey_15,P. Miller,4,1:26.09,11,26.24,122,4.1,89
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Burning Express,R. Santana,Trainer_04,11,1:16.71,1,8.59,121,Won by 3.1,98
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Bold Rocket,Jockey_09,Trainer_11,8,1:15.55,2,45.48,123,0.9,101
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Lightning Hill,Jockey_07,Trainer_01,7,1:15.63,3,32.45,117,1.2,103
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Silver Blaze,F. Prat,S. Asmussen,9,1:16.45,4,14.6,117,1.5,101
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Speed Fury,Jockey_10,B. Baffert,3,1:16.65,5,12.97,116,1.5,99
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Glowing Express,T. Baze,Trainer_19,2,1:16.69,6,4.22,117,2.6,98
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Speed Spirit,Jockey_07,R. Baltas,4,1:16.71,7,29.75,120,2.4,99
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Cosmic Hill,Jockey_05,J. Sadler,6,1:16.99,8,7.58,124,3.3,98
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Ocean Blaze,T. Baze,B. Baffert,5,1:17.01,9,8.0,126,3.0,97
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Golden King,C. Lopez,Trainer_07,10,1:16.92,10,23.1,127,3.8,103
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Jumping Tide,Jockey_13,D. O'Neill,12,1:16.98,11,32.05,119,4.1,96
2024-01-02,Del Mar,1,6.5f,Dirt,Yielding,Desert Tide,Jockey_13,Trainer_04,1,1:18.31,12,34.35,117,4.1,93
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Dark Ridge,F. Prat,C. Brown,3,1:08.71,1,5.68,122,Won by 2.6,104
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Lunar Spirit,D. Van Dyke,M. Casse,2,1:08.88,2,17.81,127,1.3,104
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Magic Fire,Jockey_07,J. Sadler,7,1:09.13,3,24.21,127,1.3,102
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Victory Boost,D. Davis,S. Asmussen,4,1:09.76,4,17.95,118,1.7,100
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Dancing Express,Jockey_06,S. Asmussen,1,1:09.80,5,16.67,123,2.3,101
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Fast Wind,J. Velazquez,Trainer_09,5,1:10.39,6,25.28,116,2.0,102
2024-01-02,Saratoga,2,6.0f,Dirt,Good,Ruby Mountain,Jockey_01,M. Casse,6,1:09.03,7,39.45,125,2.6,105
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Swift Runner,D. Van Dyke,Trainer_10,4,1:03.48,1,12.23,122,Won by 3.1,98
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Victory Energy,L. Saez,R. Baltas,2,1:02.72,2,7.85,114,1.4,108
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Star Nitro,T. Baze,J. Shirreffs,3,1:02.52,3,15.6,122,1.7,104
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Storm Surge,K. Desormeaux,L. Jones,10,1:02.81,4,28.63,122,1.8,106
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Cosmic Thunder,M. Garcia,Trainer_14,8,1:03.00,5,33.46,125,2.2,103
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Speed Hill,Jockey_13,R. Baltas,7,1:03.69,6,23.78,124,2.7,97
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Shadow Spirit,Jockey_09,R. Mandella,1,1:02.81,7,17.85,128,2.7,103
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Midnight Queen,L. Saez,Trainer_13,6,1:04.06,8,17.05,122,2.9,99
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Light Streak,K. Desormeaux,Trainer_06,5,1:03.66,9,26.71,118,3.5,100
2024-01-02,Woodbine,3,5.5f,Dirt,Fast,Ruby Breeze,R. Gonzalez,Trainer_04,9,1:03.99,10,48.74,123,3.8,98
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Lightning Ocean,J. Velazquez,Trainer_06,5,1:11.81,1,15.27,115,Won by 2.9,93
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Proud Warrior,L. Saez,R. Baltas,4,1:12.34,2,12.56,123,0.7,90
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Proud Dash,J. Castellano,Trainer_09,8,1:11.72,3,23.01,128,1.2,90
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Silver Gazer,D. Davis,Trainer_19,6,1:11.97,4,16.83,119,1.7,93
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Stellar Knight,R. Santana,D. O'Neill,7,1:12.19,5,17.95,121,1.7,93
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Bold Boost,I. Ortiz,L. Jones,9,1:12.82,6,30.24,122,2.5,88
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Swift Runner,R. Gonzalez,Trainer_03,3,1:12.77,7,12.48,116,2.2,89
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Galloping Nitro,Jockey_12,Trainer_03,2,1:12.42,8,24.47,128,3.3,89
2024-01-02,Woodbine,4,6.0f,Dirt,Fast,Storm King,A. Gryder,Trainer_17,1,1:12.82,9,71.55,118,3.5,87
2024-01-02,Gulfstream Park,5,5.5f,Dirt,Good,Strong Strike,M. Garcia,C. Brown,2,1:04.14,1,10.18,125,Won by 3.2,96
2024-01-02,Gulfstream Park,5,5.5f,Dirt,Good,Magic Ridge,C. Lopez,T. Pletcher,4,1:04.38,2,17.93,119,0.8,100
2024-01-02,Gulfstream Park,5,5.5f,Dirt,Good,Midnight Peak,A. Cedillo,Trainer_14,5,1:04.80,3,21.76,124,1.6,98
2024-01-02,Gulfstream Park,5,5.5f,Dirt,Good,Lucky Chaser,F. Prat,Trainer_14,6,1:04.53,4,33.1,127,1.4,98
2024-01-02,Gulfstream Park,5,5.5f,Dirt,Good,Bright Gazer,R. Santana,Trainer_19,3,1:04.28,5,27.71,115,2.3,95
2024-01-02,Gulfstream Park,5,5.5f,Dirt,Good,Burning Fire,Jockey_13,R. Baltas,1,1:05.36,6,29.4,128,2.5,93
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Golden Stream,M. Franco,Trainer_08,1,1:24.48,1,16.98,120,Won by 3.9,93
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Diamond Peak,Jockey_15,T. Pletcher,4,1:24.75,2,10.22,123,1.3,93
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Blazing Turbo,I. Ortiz,R. Mandella,7,1:25.44,3,14.76,119,0.9,89
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Shadow Canyon,J. Lezcano,J. Sadler,3,1:25.46,4,17.39,117,1.9,88
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Fortune Dash,Jockey_02,M. Casse,8,1:24.67,5,26.87,123,1.8,92
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Destiny Jet,R. Santana,P. Miller,6,1:25.17,6,17.27,128,2.3,90
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Solar Queen,Jockey_09,J. Shirreffs,2,1:25.60,7,17.11,128,2.8,90
2024-01-02,Keeneland,6,7.0f,Dirt,Firm,Shadow Bullet,R. Gonzalez,T. Pletcher,5,1:26.12,8,25.11,118,2.9,89
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Ocean Blaze,M. Garcia,M. Casse,7,1:26.96,1,4.51,125,Won by 0.2,89
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Swift Turbo,Jockey_03,Trainer_18,8,1:26.55,2,15.66,127,0.8,89
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Dark Bolt,Jockey_11,S. Asmussen,5,1:27.33,3,25.28,120,1.5,84
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Lucky Warrior,Jockey_08,S. Asmussen,9,1:26.37,4,16.18,118,1.6,90
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Lightning Power,M. Franco,Trainer_10,2,1:27.33,5,15.06,118,1.9,85
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Fortune Tide,D. Van Dyke,Trainer_06,10,1:27.58,6,8.7,117,2.6,88
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Silver Canyon,Jockey_12,Trainer_16,6,1:27.55,7,75.19,123,2.8,80
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Running Flash,Jockey_09,K. McPeek,3,1:26.91,8,8.18,124,2.8,86
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Stellar Demon,Jockey_09,R. Mandella,4,1:27.56,9,47.4,120,3.6,88
2024-01-02,Los Alamitos,7,7.0f,Turf,Fast,Ruby Gazer,Jockey_03,M. Casse,1,1:27.67,10,86.96,121,3.6,83
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Ruby Breeze,J. Rosario,R. Baltas,5,1:48.04,1,10.27,118,Won by 1.9,96
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Steel Bolt,J. Rosario,Trainer_14,7,1:47.75,2,33.99,125,1.0,103
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Magic Stream,R. Gonzalez,M. Casse,3,1:48.21,3,23.84,128,1.5,99
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Royal Dynamo,Jockey_02,Trainer_02,6,1:47.39,4,22.69,114,1.5,101
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Ruby Peak,J. Rosario,Trainer_09,4,1:46.95,5,28.05,115,2.3,100
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Legend Wind,J. Lezcano,S. Asmussen,2,1:47.89,6,20.46,119,2.7,98
2024-01-02,Golden Gate Fields,8,1.125m,Dirt,Fast,Midnight Current,Jockey_06,T. Pletcher,1,1:48.57,7,15.64,122,2.6,98
2024-01-02,Laurel Park,9,6.0f,Dirt,Good,Destiny Rocket,M. Smith,M. Maker,7,1:10.58,1,15.17,123,Won by 0.1,98
2024-01-02,Laurel Park,9,6.0f,Dirt,Good,Diamond Comet,M. Smith,J. Hollendorfer,8,1:11.30,2,8.9,123,0.9,93
2024-01-02,Laurel Park,9,6.0f,Dirt,Good,Ruby Knight,M. Franco,D. O'Neill,1,1:11.09,3,17.17,122,1.7,96
